title,mini_aula,fontes
LES pediátrico,"LES pediátrico deve ser estudado como protocolo clínico, não apenas como conceito. O raciocínio começa pela gravidade, passa pela confirmação diagnóstica e termina na conduta com dose por peso, reavaliação e critérios de internação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Marcos do desenvolvimento,"Marcos do desenvolvimento deve ser estudado como protocolo clínico, não apenas como conceito. O raciocínio começa pela gravidade, passa pela confirmação diagnóstica e termina na conduta com dose por peso, reavaliação e critérios de internação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - Caderneta da Criança::Base para puericultura, crescimento, desenvolvimento, vigilância e orientação familiar.::https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/s/saude-da-crianca/caderneta"
Artrite idiopática juvenil,"Artrite idiopática juvenil deve ser estudado como protocolo clínico, não apenas como conceito. O raciocínio começa pela gravidade, passa pela confirmação diagnóstica e termina na conduta com dose por peso, reavaliação e critérios de internação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Constipação funcional,"O tratamento falha quando se pula a desimpactação ou se para cedo. A criança precisa perder o medo de evacuar.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - Caderneta da Criança::Base para puericultura, crescimento, desenvolvimento, vigilância e orientação familiar.::https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/s/saude-da-crianca/caderneta"
Rinite alérgica,"Rinite alérgica afeta sono, aprendizado e controle da asma.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - Caderneta da Criança::Base para puericultura, crescimento, desenvolvimento, vigilância e orientação familiar.::https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/s/saude-da-crianca/caderneta"
Dermatite atópica,"A família precisa sair sabendo quanto, onde e por quanto tempo usar o corticoide. Subtratamento perpetua prurido, escoriação e infecção.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - Caderneta da Criança::Base para puericultura, crescimento, desenvolvimento, vigilância e orientação familiar.::https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/s/saude-da-crianca/caderneta"
Aleitamento materno,"O melhor incentivo ao aleitamento é resolver o problema concreto: dor, pega, insegurança, peso ou icterícia. Apoio sem avaliação técnica falha.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Programa de Reanimação Neonatal::Diretrizes e materiais do PRN-SBP para sala de parto, prematuro e cuidados pós-reanimação.::https://www.sbp.com.br/reanimacao | SBP - Diretrizes de reanimação RN ≥34 semanas 2022::Base para sequência de passos iniciais, VPP, compressões e medicações em sala de parto.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNigualMaior34semanas-MAIO2022a.pdf | SBP - Diretrizes de reanimação RN <34 semanas 2022::Base para termorregulação, CPAP/VPP, oxigênio e particularidades do prematuro.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNmenor34semanas-MAIO2022a.pdf | Ministério da Saúde - Caderneta da Criança::Base para puericultura, crescimento, desenvolvimento, vigilância e orientação familiar.::https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/s/saude-da-crianca/caderneta"
Hipertensão arterial pediátrica,"Hipertensão arterial pediátrica deve ser estudado como protocolo clínico, não apenas como conceito. O raciocínio começa pela gravidade, passa pela confirmação diagnóstica e termina na conduta com dose por peso, reavaliação e critérios de internação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - Caderneta da Criança::Base para puericultura, crescimento, desenvolvimento, vigilância e orientação familiar.::https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/s/saude-da-crianca/caderneta"
RN prematuro com SDR,"O TEP cobra muito diferenciação entre SDR, TTN e sepse neonatal. SDR piora progressivamente nas primeiras horas e é muito associada à prematuridade.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Programa de Reanimação Neonatal::Diretrizes e materiais do PRN-SBP para sala de parto, prematuro e cuidados pós-reanimação.::https://www.sbp.com.br/reanimacao | SBP - Diretrizes de reanimação RN ≥34 semanas 2022::Base para sequência de passos iniciais, VPP, compressões e medicações em sala de parto.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNigualMaior34semanas-MAIO2022a.pdf | SBP - Diretrizes de reanimação RN <34 semanas 2022::Base para termorregulação, CPAP/VPP, oxigênio e particularidades do prematuro.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNmenor34semanas-MAIO2022a.pdf"
Chikungunya pediátrica,"A chave é classificar arbovirose sem automatizar condutas. Chikungunya tem dor articular exuberante, dengue tem risco de choque por extravasamento e zika muda o seguimento gestacional/neonatal.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
"Covid-19, influenza e outros vírus respiratórios","Em vírus respiratórios, nomear o vírus é menos importante que reconhecer insuficiência respiratória, grupo de risco e oportunidade terapêutica para influenza.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Reanimação neonatal,"Na reanimação neonatal, a maioria das bradicardias melhora com ventilação. Se a FC não sobe, antes de medicar, corrija técnica e confirme ventilação efetiva.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Programa de Reanimação Neonatal::Diretrizes e materiais do PRN-SBP para sala de parto, prematuro e cuidados pós-reanimação.::https://www.sbp.com.br/reanimacao | SBP - Diretrizes de reanimação RN ≥34 semanas 2022::Base para sequência de passos iniciais, VPP, compressões e medicações em sala de parto.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNigualMaior34semanas-MAIO2022a.pdf | SBP - Diretrizes de reanimação RN <34 semanas 2022::Base para termorregulação, CPAP/VPP, oxigênio e particularidades do prematuro.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNmenor34semanas-MAIO2022a.pdf"
Suporte avançado de vida pediátrico,"A prova costuma colocar uma criança ainda com pulso, mas bradicárdica e mal perfundida. Ventilar e comprimir na hora certa salva antes de decorar drogas.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Distúrbios acidobásicos::Base para avaliação de acidose/alcalose e raciocínio em emergências metabólicas.::https://www.sbp.com.br/disturbios-acidobasicos-e-o-tema-de-novo-documento-cientifico-produzido-pela-sbp/"
Suporte básico de vida pediátrico,"A banca cobra diferenças entre lactente e criança no engasgo, e quando usar 30:2 ou 15:2.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Distúrbios acidobásicos::Base para avaliação de acidose/alcalose e raciocínio em emergências metabólicas.::https://www.sbp.com.br/disturbios-acidobasicos-e-o-tema-de-novo-documento-cientifico-produzido-pela-sbp/"
Desidratação grave,"A chave nao e contar evacuações, e medir perfusao. Crianca desidratada grave precisa de reavaliacao apos cada etapa: pulso, TEC, consciencia e urina dizem se o volume funcionou.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Distúrbios acidobásicos::Base para avaliação de acidose/alcalose e raciocínio em emergências metabólicas.::https://www.sbp.com.br/disturbios-acidobasicos-e-o-tema-de-novo-documento-cientifico-produzido-pela-sbp/"
HIV em crianças e criança exposta,"A idade muda o teste. Em menores de 18 meses, pensar em anticorpo materno evita a resposta errada.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - PCDT HIV em crianças 2024::Base para criança exposta, diagnóstico por idade, profilaxia e TARV pediátrica.::https://www.gov.br/aids/pt-br/central-de-conteudo/pcdts/PCDT_HIV_Criana_Modulo_1_2024_e.pdf"
Choque séptico,"A crianca mantem pressao ate tarde. Quando a PA cai, a reserva acabou. O raciocinio correto e procurar hipoperfusao: TEC, pulso, pele, consciencia e urina. Trate antes da hipotensao.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Distúrbios acidobásicos::Base para avaliação de acidose/alcalose e raciocínio em emergências metabólicas.::https://www.sbp.com.br/disturbios-acidobasicos-e-o-tema-de-novo-documento-cientifico-produzido-pela-sbp/"
Zika vírus e síndrome congênita,"No Zika, a questão costuma sair da arbovirose comum para pediatria do desenvolvimento: rastrear sequelas e organizar seguimento.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Convulsão febril,"A avaliacao da convulsao febril nao e procurar epilepsia em todo mundo; e separar a crise simples das situacoes que imitam ou complicam: meningite, disturbio metabolico e status epileptico.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Distúrbios acidobásicos::Base para avaliação de acidose/alcalose e raciocínio em emergências metabólicas.::https://www.sbp.com.br/disturbios-acidobasicos-e-o-tema-de-novo-documento-cientifico-produzido-pela-sbp/"
Código de Ética Médica em pediatria,"Na prova, procure o dever que protege a criança. Quando há risco ou violência, a confidencialidade cede à proteção.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Estatuto da Criança e do Adolescente,"A questão muitas vezes pergunta “qual a próxima conduta”. Se há risco, a resposta é proteger e notificar, não só orientar retorno.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Cetoacidose diabética,"A pressa errada na CAD faz dano. A insulina precisa continuar até limpar cetonas; por isso se adiciona dextrose quando a glicose cai.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Distúrbios acidobásicos::Base para avaliação de acidose/alcalose e raciocínio em emergências metabólicas.::https://www.sbp.com.br/disturbios-acidobasicos-e-o-tema-de-novo-documento-cientifico-produzido-pela-sbp/"
Asma grave,"Na crise asmatica, o exame muda rapido. O tratamento nao termina na primeira nebulizacao: a decisao vem da resposta. Quem continua hipoxemico, cansado ou silencioso precisa escalar antes de parar.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Distúrbios acidobásicos::Base para avaliação de acidose/alcalose e raciocínio em emergências metabólicas.::https://www.sbp.com.br/disturbios-acidobasicos-e-o-tema-de-novo-documento-cientifico-produzido-pela-sbp/"
Declaração de óbito em pediatria,"A DO não é “atestado genérico de morte”. O erro clássico é assinar causa natural quando há suspeita de violência ou causa externa.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Puericultura e desenvolvimento - revisão TEP,"Para o TEP, puericultura é uma matriz de riscos. A pergunta pode começar sem doença, mas exigir detectar atraso, negligência ou vacina atrasada.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - Caderneta da Criança::Base para puericultura, crescimento, desenvolvimento, vigilância e orientação familiar.::https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/s/saude-da-crianca/caderneta"
Laringite viral,"O tratamento da laringite e simples, mas a seguranca esta em reconhecer quem nao e simples: crianca toxemiada, babando, muito agitada ou sonolenta precisa raciocinio de via aerea dificil.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
